date time,date,time,seconds since 1970,Humidity,Water_Temperature,Air_Temperature,Air_Pressure
2020-12-02T13:10:00+1000,02-12-2020,13:10:00,1.61E+09,75.3,27.41,27.2,1012.2
2020-12-02T13:20:00+1000,02-12-2020,13:20:00,1.61E+09,74.1,27.44,27.3,1012
2020-12-02T13:30:00+1000,02-12-2020,13:30:00,1.61E+09,76.1,27.44,27.3,1011.9
2020-12-02T13:40:00+1000,02-12-2020,13:40:00,1.61E+09,75.9,27.44,27.2,1011.8
2020-12-02T13:50:00+1000,02-12-2020,13:50:00,1.61E+09,74.8,27.46,27.3,1011.8
2020-12-02T14:00:00+1000,02-12-2020,14:00:00,1.61E+09,74.5,27.44,27.3,1011.8
2020-12-02T14:10:00+1000,02-12-2020,14:10:00,1.61E+09,75.9,27.44,27.2,1011.8
2020-12-02T14:20:00+1000,02-12-2020,14:20:00,1.61E+09,74.9,27.45,27.2,1011.8
2020-12-02T14:30:00+1000,02-12-2020,14:30:00,1.61E+09,75.2,27.51,27.3,1011.8
2020-12-02T14:40:00+1000,02-12-2020,14:40:00,1.61E+09,75.1,27.63,27.2,1011.7
2020-12-02T14:50:00+1000,02-12-2020,14:50:00,1.61E+09,75.5,27.76,27.1,1011.7
2020-12-02T15:00:00+1000,02-12-2020,15:00:00,1.61E+09,74.3,27.74,27.2,1011.6
2020-12-02T15:10:00+1000,02-12-2020,15:10:00,1.61E+09,74.3,27.73,27.2,1011.6
2020-12-02T15:20:00+1000,02-12-2020,15:20:00,1.61E+09,74.4,27.64,27.2,1011.6
2020-12-02T15:30:00+1000,02-12-2020,15:30:00,1.61E+09,74.5,27.73,27.2,1011.6
2020-12-02T15:40:00+1000,02-12-2020,15:40:00,1.61E+09,74.1,27.75,27.1,1011.6
2020-12-02T15:50:00+1000,02-12-2020,15:50:00,1.61E+09,73.9,27.76,27.2,1011.8
2020-12-02T16:00:00+1000,02-12-2020,16:00:00,1.61E+09,74.9,27.92,27.1,1011.8
2020-12-02T16:10:00+1000,02-12-2020,16:10:00,1.61E+09,75.3,27.73,27.2,1011.8
2020-12-02T16:20:00+1000,02-12-2020,16:20:00,1.61E+09,76.3,27.6,27.1,1011.9
2020-12-02T16:30:00+1000,02-12-2020,16:30:00,1.61E+09,76.9,27.5,27.1,1012
2020-12-02T16:40:00+1000,02-12-2020,16:40:00,1.61E+09,75.4,27.49,27.1,1012
2020-12-02T16:50:00+1000,02-12-2020,16:50:00,1.61E+09,74.3,27.53,27.1,1012.1
2020-12-02T17:00:00+1000,02-12-2020,17:00:00,1.61E+09,74,27.51,27.2,1012.1
2020-12-02T17:10:00+1000,02-12-2020,17:10:00,1.61E+09,74.3,27.54,27.1,1012.1
2020-12-02T17:20:00+1000,02-12-2020,17:20:00,1.61E+09,74,27.53,27.2,1012.2
2020-12-02T17:30:00+1000,02-12-2020,17:30:00,1.61E+09,75.5,27.47,27.2,1012.2
2020-12-02T17:40:00+1000,02-12-2020,17:40:00,1.61E+09,75.6,27.57,27,1012.3
2020-12-02T17:50:00+1000,02-12-2020,17:50:00,1.61E+09,75.9,27.53,27.2,1012.3
